,precision,recall,f1-score,support
BARBUNYA,0.9516129032258065,0.8939393939393939,0.921875,198.0
BOMBAY,1.0,1.0,1.0,78.0
CALI,0.932,0.9510204081632653,0.9414141414141414,245.0
DERMASON,0.9165085388994307,0.9078947368421053,0.9121813031161473,532.0
HOROZ,0.9619377162629758,0.9619377162629758,0.9619377162629758,289.0
SEKER,0.9358974358974359,0.9605263157894737,0.948051948051948,304.0
SIRA,0.8625,0.8712121212121212,0.8668341708542714,396.0
accuracy,0.9236043095004897,0.9236043095004897,0.9236043095004897,0.9236043095004897
macro avg,0.9372080848979498,0.9352186703156192,0.9360420399570691,2042.0
weighted avg,0.9238025063888479,0.9236043095004897,0.9235711516994802,2042.0
