,precision,recall,f1-score,support
BARBUNYA,0.9424083769633508,0.9090909090909091,0.9254498714652957,198.0
BOMBAY,1.0,1.0,1.0,78.0
CALI,0.9469387755102041,0.9469387755102041,0.9469387755102041,245.0
DERMASON,0.8990825688073395,0.9210526315789473,0.9099350046425255,532.0
HOROZ,0.9619377162629758,0.9619377162629758,0.9619377162629758,289.0
SEKER,0.9635761589403974,0.9572368421052632,0.9603960396039604,304.0
SIRA,0.8622448979591837,0.8535353535353535,0.8578680203045685,396.0
accuracy,0.9240940254652301,0.9240940254652301,0.9240940254652301,0.9240940254652301
macro avg,0.9394554992062073,0.9356846040119503,0.9375036325413614,2042.0
weighted avg,0.9242335539441555,0.9240940254652301,0.9240943335456244,2042.0
