,precision,recall,f1-score,support
BARBUNYA,0.9619565217391305,0.8939393939393939,0.9267015706806283,198.0
BOMBAY,1.0,0.9871794871794872,0.9935483870967742,78.0
CALI,0.9173228346456693,0.9510204081632653,0.9338677354709419,245.0
DERMASON,0.9245647969052224,0.8984962406015038,0.9113441372735939,532.0
HOROZ,0.9649122807017544,0.9515570934256056,0.9581881533101045,289.0
SEKER,0.9361022364217252,0.9638157894736842,0.9497568881685575,304.0
SIRA,0.8422330097087378,0.8762626262626263,0.8589108910891089,396.0
accuracy,0.920666013712047,0.920666013712047,0.920666013712047,0.920666013712047
macro avg,0.9352988114460342,0.9317530055779379,0.9331882518699585,2042.0
weighted avg,0.9216645242829514,0.920666013712047,0.9208558004845221,2042.0
